route_id,route_short_name,route_long_name,category,station_count
KJ,KJL,LRT Kelana Jaya Line,LRT,37
PYL,PYL,MRT Putrajaya Line,MRT,36
PH,SPL,LRT Sri Petaling Line,LRT,29
AG,AGL,LRT Ampang Line,LRT,18
MR,MRL,KL Monorail Line,MRL,11
BRT,BRT,BRT Sunway Line,BRT,7
