year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2020-05,2020,5,May,LRT,KJ,LRT Kelana Jaya,1332920,42997,31
2020-05,2020,5,May,MRT,KGL,MRT Kajang,1022762,32992,31
2020-05,2020,5,May,Monorail,MR,KL Monorail,239120,7714,31
2020-06,2020,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,2297520,76584,30
2020-06,2020,6,Jun,LRT,KJ,LRT Kelana Jaya,2763468,92116,30
2020-06,2020,6,Jun,MRT,KGL,MRT Kajang,2074057,69135,30
2020-06,2020,6,Jun,Monorail,MR,KL Monorail,462853,15428,30
2020-07,2020,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,3195946,103095,31
2020-07,2020,7,Jul,LRT,KJ,LRT Kelana Jaya,4037258,130234,31
2020-07,2020,7,Jul,MRT,KGL,MRT Kajang,3033868,97867,31
2020-07,2020,7,Jul,Monorail,MR,KL Monorail,652916,21062,31
2020-08,2020,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,3227890,104125,31
2020-08,2020,8,Aug,LRT,KJ,LRT Kelana Jaya,4047143,130553,31
2020-08,2020,8,Aug,MRT,KGL,MRT Kajang,3097549,99921,31
2020-08,2020,8,Aug,Monorail,MR,KL Monorail,659168,21263,31
2020-09,2020,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,3549250,118308,30
2020-09,2020,9,Sep,LRT,KJ,LRT Kelana Jaya,4574478,152483,30
2020-09,2020,9,Sep,MRT,KGL,MRT Kajang,3476687,115890,30
2020-09,2020,9,Sep,Monorail,MR,KL Monorail,709460,23649,30
2020-10,2020,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,2592837,83640,31
2020-10,2020,10,Oct,LRT,KJ,LRT Kelana Jaya,2976066,96002,31
2020-10,2020,10,Oct,MRT,KGL,MRT Kajang,2250818,72607,31
2020-10,2020,10,Oct,Monorail,MR,KL Monorail,501175,16167,31
2020-11,2020,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,2126946,70898,30
2020-11,2020,11,Nov,LRT,KJ,LRT Kelana Jaya,2362797,78760,30
2020-11,2020,11,Nov,MRT,KGL,MRT Kajang,1794618,59821,30
2020-11,2020,11,Nov,Monorail,MR,KL Monorail,432777,14426,30
2020-12,2020,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,2429909,78384,31
2020-12,2020,12,Dec,LRT,KJ,LRT Kelana Jaya,2746762,88605,31
2020-12,2020,12,Dec,MRT,KGL,MRT Kajang,2134543,68856,31
2020-12,2020,12,Dec,Monorail,MR,KL Monorail,484612,15633,31
2021-01,2021,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,1824666,58860,31
2021-01,2021,1,Jan,LRT,KJ,LRT Kelana Jaya,1980365,63883,31
2021-01,2021,1,Jan,MRT,KGL,MRT Kajang,1510475,48725,31
2021-01,2021,1,Jan,Monorail,MR,KL Monorail,352306,11365,31
2021-02,2021,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,1698744,60669,28
2021-02,2021,2,Feb,LRT,KJ,LRT Kelana Jaya,1824987,65178,28
2021-02,2021,2,Feb,MRT,KGL,MRT Kajang,1423721,50847,28
2021-02,2021,2,Feb,Monorail,MR,KL Monorail,312303,11154,28
2021-03,2021,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,2601245,83911,31
2021-03,2021,3,Mar,LRT,KJ,LRT Kelana Jaya,3033861,97866,31
2021-03,2021,3,Mar,MRT,KGL,MRT Kajang,2435248,78556,31
2021-03,2021,3,Mar,Monorail,MR,KL Monorail,502882,16222,31
2021-04,2021,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,2705960,90199,30
2021-04,2021,4,Apr,LRT,KJ,LRT Kelana Jaya,3266042,108868,30
2021-04,2021,4,Apr,MRT,KGL,MRT Kajang,2609911,86997,30
2021-04,2021,4,Apr,Monorail,MR,KL Monorail,523031,17434,30
2021-05,2021,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,1799251,58040,31
2021-05,2021,5,May,LRT,KJ,LRT Kelana Jaya,1904752,61444,31
2021-05,2021,5,May,MRT,KGL,MRT Kajang,1524387,49174,31
2021-05,2021,5,May,Monorail,MR,KL Monorail,320320,10333,31
2021-06,2021,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,731375,24379,30
2021-06,2021,6,Jun,LRT,KJ,LRT Kelana Jaya,833847,27795,30
2021-06,2021,6,Jun,MRT,KGL,MRT Kajang,580487,19350,30
2021-06,2021,6,Jun,Monorail,MR,KL Monorail,125639,4188,30
2021-07,2021,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,824844,26608,31
2021-07,2021,7,Jul,LRT,KJ,LRT Kelana Jaya,897012,28936,31
2021-07,2021,7,Jul,MRT,KGL,MRT Kajang,614041,19808,31
