year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2025-02,2025,2,Feb,MRT,KGL,MRT Kajang,7039197,251400,28
2025-02,2025,2,Feb,MRT,PYL,MRT Putrajaya,4147600,148129,28
2025-02,2025,2,Feb,Monorail,MR,KL Monorail,1630089,58217,28
2025-03,2025,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,5755933,185675,31
2025-03,2025,3,Mar,LRT,KJ,LRT Kelana Jaya,7174483,231435,31
2025-03,2025,3,Mar,MRT,KGL,MRT Kajang,7142305,230397,31
2025-03,2025,3,Mar,MRT,PYL,MRT Putrajaya,4305723,138894,31
2025-03,2025,3,Mar,Monorail,MR,KL Monorail,1632663,52667,31
2025-04,2025,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,5661642,188721,30
2025-04,2025,4,Apr,LRT,KJ,LRT Kelana Jaya,7285351,242845,30
2025-04,2025,4,Apr,MRT,KGL,MRT Kajang,7389774,246326,30
2025-04,2025,4,Apr,MRT,PYL,MRT Putrajaya,4485310,149510,30
2025-04,2025,4,Apr,Monorail,MR,KL Monorail,1659426,55314,30
2025-05,2025,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,6216005,200516,31
2025-05,2025,5,May,LRT,KJ,LRT Kelana Jaya,7531075,242938,31
2025-05,2025,5,May,MRT,KGL,MRT Kajang,7823203,252361,31
2025-05,2025,5,May,MRT,PYL,MRT Putrajaya,4716456,152144,31
2025-05,2025,5,May,Monorail,MR,KL Monorail,1773505,57210,31
2025-06,2025,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,5710467,190349,30
2025-06,2025,6,Jun,LRT,KJ,LRT Kelana Jaya,7055985,235200,30
2025-06,2025,6,Jun,MRT,KGL,MRT Kajang,7527345,250912,30
2025-06,2025,6,Jun,MRT,PYL,MRT Putrajaya,4479168,149306,30
2025-06,2025,6,Jun,Monorail,MR,KL Monorail,1689666,56322,30
2025-07,2025,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,6350274,204848,31
2025-07,2025,7,Jul,LRT,KJ,LRT Kelana Jaya,8236230,265685,31
2025-07,2025,7,Jul,MRT,KGL,MRT Kajang,8322586,268471,31
2025-07,2025,7,Jul,MRT,PYL,MRT Putrajaya,5110482,164854,31
2025-07,2025,7,Jul,Monorail,MR,KL Monorail,1858680,59957,31
2025-08,2025,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,6343844,204640,31
2025-08,2025,8,Aug,LRT,KJ,LRT Kelana Jaya,8095935,261159,31
2025-08,2025,8,Aug,MRT,KGL,MRT Kajang,8301044,267776,31
2025-08,2025,8,Aug,MRT,PYL,MRT Putrajaya,5052583,162987,31
2025-08,2025,8,Aug,Monorail,MR,KL Monorail,1892143,61037,31
2025-09,2025,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,5664639,188821,30
2025-09,2025,9,Sep,LRT,KJ,LRT Kelana Jaya,7143358,238112,30
2025-09,2025,9,Sep,MRT,KGL,MRT Kajang,7530148,251005,30
2025-09,2025,9,Sep,MRT,PYL,MRT Putrajaya,4543928,151464,30
2025-09,2025,9,Sep,Monorail,MR,KL Monorail,1657494,55250,30
2025-10,2025,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,6205243,200169,31
2025-10,2025,10,Oct,LRT,KJ,LRT Kelana Jaya,7739381,249657,31
2025-10,2025,10,Oct,MRT,KGL,MRT Kajang,8015428,258562,31
2025-10,2025,10,Oct,MRT,PYL,MRT Putrajaya,4753510,153339,31
2025-10,2025,10,Oct,Monorail,MR,KL Monorail,1846749,59573,31
2025-11,2025,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,5909107,196970,30
2025-11,2025,11,Nov,LRT,KJ,LRT Kelana Jaya,7417502,247250,30
2025-11,2025,11,Nov,MRT,KGL,MRT Kajang,7803280,260109,30
2025-11,2025,11,Nov,MRT,PYL,MRT Putrajaya,4759332,158644,30
2025-11,2025,11,Nov,Monorail,MR,KL Monorail,1731604,57720,30
2025-12,2025,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,6205647,200182,31
2025-12,2025,12,Dec,LRT,KJ,LRT Kelana Jaya,7784113,251100,31
2025-12,2025,12,Dec,MRT,KGL,MRT Kajang,8368266,269944,31
2025-12,2025,12,Dec,MRT,PYL,MRT Putrajaya,4991264,161009,31
2025-12,2025,12,Dec,Monorail,MR,KL Monorail,1916425,61820,31
2026-01,2026,1,Jan,BRT,BRT,BRT Sunway,573494,18500,31
2026-01,2026,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,6356549,205050,31
2026-01,2026,1,Jan,LRT,KJ,LRT Kelana Jaya,7693134,248166,31
2026-01,2026,1,Jan,MRT,KGL,MRT Kajang,8165137,263392,31
2026-01,2026,1,Jan,MRT,PYL,MRT Putrajaya,5030622,162278,31
2026-01,2026,1,Jan,Monorail,MR,KL Monorail,1814236,58524,31
2026-02,2026,2,Feb,BRT,BRT,BRT Sunway,532681,19024,28
2026-02,2026,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,5384630,192308,28
2026-02,2026,2,Feb,LRT,KJ,LRT Kelana Jaya,6455188,230542,28
2026-02,2026,2,Feb,MRT,KGL,MRT Kajang,6840419,244301,28
2026-02,2026,2,Feb,MRT,PYL,MRT Putrajaya,4132878,147603,28
2026-02,2026,2,Feb,Monorail,MR,KL Monorail,1582355,56513,28
2026-03,2026,3,Mar,BRT,BRT,BRT Sunway,668633,21569,31
2026-03,2026,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,6072461,195886,31
2026-03,2026,3,Mar,LRT,KJ,LRT Kelana Jaya,7282363,234915,31
2026-03,2026,3,Mar,MRT,KGL,MRT Kajang,7672604,247503,31
2026-03,2026,3,Mar,MRT,PYL,MRT Putrajaya,4724175,152393,31
2026-03,2026,3,Mar,Monorail,MR,KL Monorail,1710637,55182,31
2026-04,2026,4,Apr,BRT,BRT,BRT Sunway,670439,22348,30
2026-04,2026,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,6326276,210876,30
2026-04,2026,4,Apr,LRT,KJ,LRT Kelana Jaya,7794066,259802,30
2026-04,2026,4,Apr,MRT,KGL,MRT Kajang,8120567,270686,30
2026-04,2026,4,Apr,MRT,PYL,MRT Putrajaya,5146938,171565,30
2026-04,2026,4,Apr,Monorail,MR,KL Monorail,1718981,57299,30
2026-05,2026,5,May,BRT,BRT,BRT Sunway,241366,21942,11
