stop_id,station_name,stop_name,stop_lat,stop_lon,category,route_id,route_short_name,route_long_name,route_color_hex,isOKU,is_interchange_name,status
KJ9,Ampang Park,AMPANG PARK,3.159894,101.719017,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,True,valid
KJ8,Damai,DAMAI,3.164406,101.724489,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ7,Dato' Keramat,DATO' KERAMAT,3.16509,101.73184,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ6,Jelatek,JELATEK,3.167204,101.735344,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ5,Setiawangsa,SETIAWANGSA,3.17576,101.73584,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ4,Sri Rampai,SRI RAMPAI,3.199176,101.73747,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ3,Wangsa Maju,WANGSA MAJU,3.205751,101.731796,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ2,Taman Melati,TAMAN MELATI,3.219558,101.72197,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ1,Gombak,GOMBAK,3.231793,101.724427,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
SP31,Putra Heights,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP29,Puchong Prima,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP28,Puchong Perdana,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP27,Bandar Puteri,BANDAR PUTERI,3.017111,101.612855,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP26,Taman Perindustrian Puchong,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP25,Pusat Bandar Puchong,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP24,Ioi Puchong Jaya,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP22,Kinrara,KINRARA,3.050506,101.644294,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP21,Alam Sutera,ALAM SUTERA,3.0547,101.656468,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP20,Muhibbah,MUHIBBAH,3.062229,101.662552,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP19,Awan Besar,AWAN BESAR,3.062131,101.670555,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP18,Sri Petaling,SRI PETALING,3.061445,101.687074,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP17,Bukit Jalil,BUKIT JALIL,3.058196,101.692125,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP16,Sungai Besi,SUNGAI BESI,3.063842,101.708062,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP15,Bandar Tasik Selatan,BANDAR TASIK SELATAN,3.076058,101.711107,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
